command,kind,type,default,prefix,module,platform_text,runtime_editable,startup_only,in_default_engine,in_scalability,scalability_group,scalability_sections,usage,help,flags
r.MegaLights.NumSamplesPerPixel,CVar,int32,4,r,通用,All,true,false,false,true,true,ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3;ShadowQuality@Cine,`r.MegaLights.NumSamplesPerPixel=<值>` / `r.MegaLights.NumSamplesPerPixel <值>` 或 INI 中配置,Number of samples per downsampled pixel for the opaque lighting pass.\n,ECVF_Scalability | ECVF_RenderThreadSafe
r.MegaLights.ScreenTraces.Quality,CVar,int32,1,r,通用,All,true,false,false,true,true,ShadowQuality@0;ShadowQuality@1;ShadowQuality@2;ShadowQuality@3;ShadowQuality@Cine,`r.MegaLights.ScreenTraces.Quality=<值>` / `r.MegaLights.ScreenTraces.Quality <值>` 或 INI 中配置,Screen trace quality.\n,ECVF_Scalability | ECVF_RenderThreadSafe
r.MeshCardRepresentation.SkeletalMesh,CVar,int32,1,r,渲染管线,All,true,false,false,true,true,GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine,`r.MeshCardRepresentation.SkeletalMesh=<值>` / `r.MeshCardRepresentation.SkeletalMesh <值>` 或 INI 中配置,Whether to allow generating mesh cards for skeletal meshes.,ECVF_Scalability | ECVF_RenderThreadSafe
r.Mobile.AntiAliasing,CVar,int32,2,r,通用,All,true,false,true,true,true,AntiAliasingQuality@0;AntiAliasingQuality@1;AntiAliasingQuality@2;AntiAliasingQuality@3,`r.Mobile.AntiAliasing=<值>` / `r.Mobile.AntiAliasing <值>` 或 INI 中配置,,ECVF_RenderThreadSafe | ECVF_Scalability
r.Mobile.SupportInsetShadows,CVar,bool,false,r,光线追踪,All,true,false,false,true,true,ShadowQuality@2;ShadowQuality@3,`r.Mobile.SupportInsetShadows=<值>` / `r.Mobile.SupportInsetShadows <值>` 或 INI 中配置,Enables inset shadows on mobile. Currently not supported on platforms not using ShadowMaskTexture. Default = false.,ECVF_Scalability | ECVF_RenderThreadSafe
r.MotionBlur.HalfResGather,CVar,int32,1,r,后处理,All,true,false,false,true,true,PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine,`r.MotionBlur.HalfResGather=<值>` / `r.MotionBlur.HalfResGather <值>` 或 INI 中配置,Whether to do motion blur filter dynamically at half res under heavy motion.,ECVF_Scalability | ECVF_RenderThreadSafe
r.MotionBlurQuality,CVar,int32,4,r,后处理,All,true,false,false,true,true,PostProcessQuality@0;PostProcessQuality@1;PostProcessQuality@2;PostProcessQuality@3;PostProcessQuality@Cine,`r.MotionBlurQuality=<值>` / `r.MotionBlurQuality <值>` 或 INI 中配置,,ECVF_Scalability | ECVF_RenderThreadSafe
r.NeverOcclusionTestDistance,CVar,string,,r,渲染管线,All,true,false,false,true,true,ViewDistanceQuality@0;ViewDistanceQuality@1;ViewDistanceQuality@2;ViewDistanceQuality@3,`r.NeverOcclusionTestDistance=<值>` / `r.NeverOcclusionTestDistance <值>` 或 INI 中配置,"When the distance between the viewpoint and the bounding sphere center is less than this, never occlusion cull.",ECVF_RenderThreadSafe | ECVF_Scalability
r.ParticleLightQuality,CVar,int32,2,r,光线追踪,All,true,false,false,true,true,EffectsQuality@0;EffectsQuality@1;EffectsQuality@2;EffectsQuality@3;EffectsQuality@Cine,`r.ParticleLightQuality=<值>` / `r.ParticleLightQuality <值>` 或 INI 中配置,0: No lights. 1:Only simple lights. 2:Simple+HQ lights,ECVF_Scalability
r.RayTracing.DynamicGeometry.MaxUpdatePrimitivesPerFrame,CVar,int32,-1,r,光线追踪,All,true,false,false,true,true,GlobalIlluminationQuality@1;GlobalIlluminationQuality@2;GlobalIlluminationQuality@3;GlobalIlluminationQuality@Cine,`r.RayTracing.DynamicGeometry.MaxUpdatePrimitivesPerFrame=<值>` / `r.RayTracing.DynamicGeometry.MaxUpdatePrimitivesPerFrame <值>` 或 INI 中配置,Sets the dynamic ray tracing acceleration structure build budget in terms of maximum number of updated triangles per frame (<= 0 then disabled and all acceleration structures are updated - default),ECVF_RenderThreadSafe | ECVF_Scalability
